,Pressure,Temperature,Enthalpy,Depth,Massrate,Pola Aliran,Dryness,P2,P2_Homogen
0,8.02,170.5170677944252,2240.0,0,17.19,Mist,0.7418554723568804,8.06333078572325,8.055625360443962
1,8.06333078572325,170.74072860617002,2240.056035344902,3,17.19,Mist,0.7416794293475125,8.106413030006909,8.09876743551183
2,8.106413030006909,170.96216516483713,2240.111513439181,6,17.19,Mist,0.7415051904923993,8.149251179097337,8.141664380823501
3,8.149251179097337,171.18142538177096,2240.166452124416,9,17.19,Mist,0.7413327195359011,8.191849549456313,8.18432054183888
4,8.191849549456313,171.39855559964826,2240.220868476568,12,17.19,Mist,0.7411619813290967,8.234212333021258,8.22674013837067
5,8.234212333021258,171.61360066119175,2240.2747788470374,15,17.19,Mist,0.7409929417846467,8.276343602193611,8.26892726962808
6,8.276343602193611,171.82660397412354,2240.3281989010916,18,17.19,Mist,0.7408255678339587,8.318247314572368,8.310885919002342
7,8.318247314572368,172.0376075726092,2240.3811436538476,21,17.19,Mist,0.740659827386498,8.359927317448568,8.35261995861016
8,8.359927317448568,172.24665217541718,2240.433627504002,24,17.19,Mist,0.7404956892911307,8.401387352075352,8.394133153609847
9,8.401387352075352,172.45377724100172,2240.485664265464,27,17.19,Mist,0.7403331232993747,8.442631057727175,8.435429166303958
10,8.442631057727175,172.6590210197047,2240.5372671970476,30,17.19,Mist,0.7401721000304367,8.48366197556079,8.476511560041239
11,8.48366197556079,172.86242060326157,2240.5884490303583,33,17.19,Mist,0.7400125909379439,8.52448355228974,8.517383802929738
12,8.52448355228974,173.06401197176785,2240.6392219960026,36,17.19,Mist,0.7398545682782636,8.56509914368328,8.558049271372207
13,8.56509914368328,173.26383003827152,2240.6895978482394,39,17.19,Mist,0.7396980050803291,8.605512017899894,8.598511253434072
14,8.605512017899894,173.46190869113133,2240.739587888178,42,17.19,Mist,0.739542875116871,8.645725358664887,8.638772952053586
15,8.645725358664887,173.6582808342696,2240.7892029856243,45,17.19,Mist,0.7393891528769984,8.685742268300906,8.678837488103154
16,8.685742268300906,173.85297842545788,2240.8384535996665,48,17.19,Mist,0.7392368135400268,8.725565770619639,8.718707903310165
17,8.725565770619639,174.0460325127342,2240.8873497980826,51,17.19,Mist,0.7390858329505121,8.765198813682392,8.758387163045175
18,8.765198813682392,174.23747326907431,2240.935901275652,54,17.19,Mist,0.7389361875944063,8.804644272436787,8.797878158984723
19,8.804644272436787,174.42733002541104,2240.9841173714412,57,17.19,Mist,0.7387878545762754,8.843904951236286,8.837183711655648
20,8.843904951236286,174.6156313020922,2241.032007085127,60,17.19,Mist,0.738640811597542,8.882983586248887,8.876306572867263
21,8.882983586248887,174.8024048388794,2241.0795790924267,63,17.19,Mist,0.7384950369356622,8.921882847760894,8.915249428037413
22,8.921882847760894,174.9876776235488,2241.1268417596843,66,17.19,Mist,0.7383505094242299,8.960605342381307,8.954014898418036
23,8.960605342381307,175.17147591918928,2241.1738031576747,69,17.19,Mist,0.7382072084339276,8.999153615152034,8.992605543225451
24,8.999153615152034,175.3538252902606,2241.220471074665,72,17.19,Mist,0.7380651138542921,9.037530151568813,9.031023861680387
25,9.037530151568813,175.53475062747685,2241.266853028789,75,17.19,Mist,0.7379242060762612,9.07573737951742,9.069272294962328
26,9.07573737951742,175.7142761715885,2241.3129562797676,78,17.19,Mist,0.7377844659754438,9.113777671129482,9.107353228082593
27,9.113777671129482,175.89242553610876,2241.3587878400267,81,17.19,Mist,0.7376458748960942,9.151653344561934,9.145268991680222
28,9.151653344561934,176.06922172905178,2241.4043544852348,84,17.19,Mist,0.737508414635745,9.189366665703956,9.183021863744534
29,9.189366665703956,176.24468717372514,2241.449662764307,87,17.19,Mist,0.7373720674304695,9.226919849814943,9.220614071267999
30,9.226919849814943,176.41884372863058,2241.4947190089024,90,17.19,Mist,0.7372368159407472,9.264315063096925,9.258047791832837
31,9.264315063096925,176.59171270652047,2241.539529342442,93,17.19,Mist,0.7371026432378901,9.301554424204603,9.295325155134574
32,9.301554424204603,176.7633148926472,2241.584099688682,96,17.19,Mist,0.736969532791019,9.338640005696009,9.3324482444456
33,9.338640005696009,176.93367056225156,2241.6284357798604,99,17.19,Mist,0.736837468454551,9.375573835426625,9.36941909802158
34,9.375573835426625,177.10279949732478,2241.6725431644486,102,17.19,Mist,0.7367064344561808,9.412357897889638,9.406239710453459
35,9.412357897889638,177.27072100268236,2241.716427214525,105,17.19,Mist,0.7365764153853331,9.448994135504863,9.44291203396757
36,9.448994135504863,177.43745392138374,2241.7600931327934,108,17.19,Mist,0.7364473961820522,9.485484449858703,9.47943797967632
37,9.485484449858703,177.6030166495263,2241.803545959269,111,17.19,Mist,0.7363193621263309,9.521830702897432,9.51581941878168
